fold,train_loss,valid_loss,thresh,X_sub
1,0.9531358796354366,4.175454016842964,0.01,1
2,0.9631900799399021,3.6971147175215564,0.01,2
3,0.9600231672877972,3.7620998470699827,0.01,3
4,0.9604545483634261,3.8853554774416157,0.01,4
5,0.9809844104331469,3.6099587612249784,0.01,5
6,0.9715563103207385,4.084978040294165,0.01,6
7,0.9496491240121494,4.375103002942776,0.01,7
8,0.9627698354464453,4.134642025720096,0.01,8
9,0.968457805227521,4.008122515543116,0.01,9
10,0.9719823416447637,3.781750490044249,0.01,10
1,0.9476836572463844,4.13783997892551,0.02,11
2,0.9600530474310222,3.6892381263438088,0.02,12
3,0.9642131534266292,3.7439264499785385,0.02,13
4,0.9379399829315777,3.8767469798606866,0.02,14
5,0.985503249333327,3.5967395553311614,0.02,15
6,0.9508112731311058,4.06526223975925,0.02,16
7,0.9473456219918527,4.373497072416481,0.02,17
8,0.9442385953730462,4.1157263743309676,0.02,18
9,0.962058026807095,3.9594162361096354,0.02,19
10,0.958084320865355,3.7912744982931836,0.02,20
1,0.9326032150079155,4.13535605998659,0.03,21
2,0.960372298644186,3.6737894841900838,0.03,22
3,0.9550868926407275,3.745938525910313,0.03,23
4,0.9386448303336301,3.881295803243892,0.03,24
5,0.9581810052344237,3.586542633890751,0.03,25
6,0.9601585658241727,4.093520017517473,0.03,26
7,0.9603698610361013,4.395883605830611,0.03,27
8,0.9590357304030794,4.118587232322435,0.03,28
9,0.9659312963348811,3.9640688153028183,0.03,29
10,0.94464292190617,3.7683737525667635,0.03,30
1,1.0119559880036004,4.110073236724939,0.05,31
2,1.0434010878899131,3.6864772633327925,0.05,32
3,1.0210539683512458,3.7611843162383454,0.05,33
4,1.0270949829811928,3.8600593187717682,0.05,34
5,1.0450836172951716,3.5410696926552956,0.05,35
6,1.0357912849930817,4.1025413132718525,0.05,36
7,1.03067518752858,4.38810786341098,0.05,37
8,1.0164182521413836,4.114864348491666,0.05,38
9,1.0346883873910924,3.9741718820636676,0.05,39
10,1.028839189921018,3.761484536614477,0.05,40
1,0.9985076327675341,4.09738700533334,0.1,41
2,0.9701152306703682,3.7042406182317658,0.1,42
3,1.0045058576732993,3.785982051109627,0.1,43
4,1.000855999024611,3.8346708169773938,0.1,44
5,1.0233660522076697,3.5404096290516995,0.1,45
6,1.0028074754889693,4.106054969338906,0.1,46
7,1.0078722176389256,4.378202427331813,0.1,47
8,0.9625903160707721,4.134825422251739,0.1,48
9,1.0092581673996202,3.930627166753727,0.1,49
10,1.0209398675015506,3.7390747897264034,0.1,50
