fold,train_loss,valid_loss,X_sub
1,0.9599497723721132,3.717264758224665,1
2,0.9639762160135209,4.063186025379022,2
3,0.9618831880936499,3.7468994904137265,3
4,0.9530153391608437,3.968582359858576,4
5,0.9444410481522391,4.136359530768215,5
6,0.9672287090903815,3.7972501665790928,6
7,0.9505276315403951,4.324925594036654,7
8,0.9662964168040262,3.6735211620157795,8
9,0.9628742408528314,3.974332992600486,9
10,0.9758141388157806,3.6123424415908327,10
1,0.9629490172691916,3.7067693958872003,1
2,0.9664234815089311,4.051960907776097,2
3,0.9682569624129206,3.7618939095288,3
4,0.9551211773003407,3.9661366032782293,4
5,0.9406821738190859,4.1362866323968115,5
6,0.9654122179382747,3.7878961310260455,6
7,0.9472406409689618,4.348354085657121,7
8,0.9649900214313151,3.675884957634489,8
9,0.9612689609810195,3.964985685765647,9
10,0.9729228483199838,3.579668575977106,10
1,0.9633159017009625,3.7225692682646825,1
2,0.964681116280772,4.071761712812376,2
3,0.963094681720498,3.7705483103442963,3
4,0.9536927296374595,3.9567968707691774,4
5,0.9426509010256562,4.144574592440602,5
6,0.9674006903083298,3.768965201073056,6
7,0.9476341938362831,4.319136082472834,7
8,0.9648844170840711,3.660302658634654,8
9,0.9596799777316251,3.959048933029814,9
10,0.976892824878115,3.5931897689009022,10
1,0.9605839559013704,3.6985538771697843,1
2,0.9680826892704533,4.044708666911592,2
3,0.9657149991597286,3.75855614716324,3
4,0.9531340004042854,3.9602243816049514,4
5,0.9432634093595283,4.152628658421969,5
6,0.9661881280503573,3.7854689229089664,6
7,0.9477006667145357,4.339347281607608,7
8,0.9657712108534833,3.6806528367630915,8
9,0.9570294197342112,3.962942214976229,9
10,0.9728998031185953,3.598035185910494,10
1,0.9606351685084185,3.717191176538774,1
2,0.9680058771015678,4.07092689843852,2
3,0.9636127308583458,3.7726152193414806,3
4,0.9556398806105452,3.9699896163772306,4
5,0.9435370622047236,4.158453880022479,5
6,0.9687447999163599,3.775698079933435,6
7,0.9492051372989442,4.341575194705736,7
8,0.9635422274140141,3.655069723980725,8
9,0.9592825988825102,3.979862566825264,9
10,0.9757266167457219,3.591063801424977,10
1,0.9605489301015253,3.7018683113321402,1
2,0.9624462818534041,4.038879827771426,2
3,0.9639404471530197,3.7475109532096926,3
4,0.9547409710479674,3.9453890024777274,4
5,0.9418034833355695,4.157070049174819,5
6,0.969991231620256,3.784418688657492,6
7,0.9507831897105594,4.341611852457076,7
8,0.967204449663878,3.6736182133114132,8
9,0.9548322694108767,3.967647847088029,9
10,0.9743061014037127,3.592125351937751,10
1,0.9601117385953161,3.6914789130236207,1
2,0.9641063387639182,4.049762333388876,2
3,0.9642572398245504,3.7570567031266484,3
4,0.9528948412349272,3.957185764202212,4
5,0.9465918442411255,4.161016983787744,5
6,0.968631090469827,3.796344615111808,6
7,0.9500445352927545,4.336227348505449,7
8,0.9702708885891912,3.660024487265822,8
9,0.961488409269296,3.964493838286885,9
10,0.9731855576438836,3.605231975411419,10
1,0.9611985165251037,3.7131966635679055,1
2,0.9638499510096389,4.080584418262253,2
3,0.9641966992349201,3.757188498360546,3
4,0.9558327063805677,3.9531586843571334,4
5,0.9402560737369233,4.161428021530772,5
6,0.9677197993201976,3.7862020050851055,6
7,0.9489932638560569,4.324463098107897,7
8,0.9626646943449988,3.6593771399490143,8
9,0.9610770541356736,3.9642956992822826,9
10,0.973246856166845,3.6036382447902917,10
1,0.9606517398836987,3.704639316446402,1
2,0.964206220292758,4.056758543419213,2
3,0.9657079862902097,3.729602192529427,3
4,0.957955032526181,3.953992258891497,4
5,0.9408360495282035,4.14685548753328,5
6,0.9672900187511648,3.7998877227611447,6
7,0.946859982200649,4.322995623917683,7
8,0.9648777922352726,3.6699786360819684,8
9,0.9564028048311504,3.957825664807438,9
10,0.9761265718731458,3.602780167992016,10
1,0.9606032669174885,3.709378982070201,1
2,0.9648127175277473,4.065340256014087,2
3,0.967412919125989,3.7680675351182438,3
4,0.957266970781347,3.9503438102832056,4
5,0.9439252213138101,4.159017495784594,5
6,0.9680809057538896,3.7932580741946142,6
7,0.9468453292661111,4.3207038864005325,7
8,0.9636950185358713,3.6663700902379763,8
9,0.9603565292835161,3.9783821497163543,9
10,0.9716743293679784,3.5725029843160456,10
