num.trees,mtry,train_loss,valid_loss,fold,model
100,5,0.9687709439285379,4.166847265770187,1,1
100,5,0.9845556101011715,3.685647948176397,2,1
100,5,0.9680421786699706,3.7540351509619025,3,1
100,5,0.9621243089260131,3.8338371060904683,4,1
100,5,0.9856382602108281,3.5821873420504478,5,1
100,5,0.9792869641013012,4.091658311513476,6,1
100,5,0.9696149093897821,4.40360327841428,7,1
100,5,0.9682729833751683,4.1391035919408585,8,1
100,5,0.9871495159691919,3.9223716314231667,9,1
100,5,0.984283055214453,3.776438747694908,10,1
280,5,0.9563466642358543,4.134798403584547,1,2
280,5,0.9709216723261539,3.697444012251129,2,2
280,5,0.959858392791914,3.7670392819250726,3,2
280,5,0.9554226320542848,3.838157521613248,4,2
280,5,0.9795770972170561,3.5086403864533677,5,2
280,5,0.9578597912779856,4.12234672355424,6,2
280,5,0.947980083449699,4.339283897151463,7,2
280,5,0.9511625217070773,4.114061539622348,8,2
280,5,0.9660260597824537,3.899140019382102,9,2
280,5,0.9670629816398445,3.74228184105501,10,2
500,5,0.9580269118454898,4.102375307619862,1,3
500,5,0.962334846241502,3.6853393304749122,2,3
500,5,0.9567052377445465,3.777565866930971,3,3
500,5,0.9498908410504011,3.8283808132286663,4,3
500,5,0.9785636511802788,3.518101033924172,5,3
500,5,0.9568815182135417,4.088029792766203,6,3
500,5,0.9498434886368107,4.32540120674151,7,3
500,5,0.9449318266111764,4.109078552505022,8,3
500,5,0.9656675577879489,3.9029119561983863,9,3
500,5,0.967384686592103,3.7434762386192015,10,3
100,1,3.0233492302372813,4.471097206226967,1,4
100,1,3.086937527654351,4.031598331406012,2,4
100,1,3.0777559546873925,4.1479612812736155,3,4
100,1,3.184227837893432,4.212648424581727,4,4
100,1,3.141378175730541,4.074104440319484,5,4
100,1,3.1222423437105804,4.369578560977951,6,4
100,1,3.1840985590909128,4.812631998473852,7,4
100,1,3.0908222875029194,4.4319393499859565,8,4
100,1,3.0928047597230433,4.364283304431028,9,4
100,1,3.212566896871832,4.13878356179338,10,4
280,1,3.0696950358566872,4.51751325627503,1,5
280,1,3.074305200684064,4.040856494937798,2,5
280,1,3.1043380309818676,4.1683307315494185,3,5
280,1,3.0817872844622785,4.137233148449273,4,5
280,1,3.080213916627006,4.052989423096036,5,5
280,1,3.109355307249719,4.378342180959468,6,5
280,1,3.0813540735775238,4.787901906041646,7,5
280,1,3.0828983227991866,4.40726091873424,8,5
280,1,3.1378133331529496,4.434623024837905,9,5
280,1,3.1171327806791993,4.074440749102715,10,5
500,1,3.0798813944885537,4.518613387202115,1,6
500,1,3.158020634023971,4.081322955736143,2,6
500,1,3.0974417443606628,4.153919591776872,3,6
500,1,3.1233577277572957,4.171570016701707,4,6
500,1,3.1011860325015785,4.096643269203489,5,6
500,1,3.1349710638847217,4.383470724014212,6,6
500,1,3.0723461029111805,4.767848426450175,7,6
500,1,3.0690705182127243,4.411293420381506,8,6
500,1,3.14135832958217,4.391933464716973,9,6
500,1,3.137169740946631,4.080174124101304,10,6
100,4,1.0324244594109957,4.166044938868106,1,7
100,4,1.0418437338487818,3.7621398390135434,2,7
100,4,1.0353148449597804,3.8030970824070995,3,7
100,4,1.0331557105761955,3.8477154887082365,4,7
100,4,1.0584398438903664,3.566189313279982,5,7
100,4,1.0368303999575834,4.148765984953626,6,7
100,4,1.0239759801599284,4.375573728833743,7,7
100,4,1.0296856507896517,4.122632701115692,8,7
100,4,1.043727269010873,3.929779068018693,9,7
100,4,1.049065810771063,3.7381609009617787,10,7
280,4,1.0149592305636157,4.108532630120444,1,8
280,4,1.0288398691233163,3.6960363514583143,2,8
280,4,1.0212292377027707,3.770854093811,3,8
280,4,1.016482510726177,3.8248239415932734,4,8
280,4,1.0467004529417272,3.5632773380170195,5,8
280,4,1.0258322304986043,4.099481762490453,6,8
280,4,1.0195948077828247,4.38402014359048,7,8
280,4,1.0116974496442097,4.100551437569123,8,8
280,4,1.0315181716748625,3.9250334730487997,9,8
280,4,1.0323821748150703,3.7404699734765328,10,8
500,4,1.022020532120755,4.102858169925505,1,9
500,4,1.026161452808818,3.6793364911452504,2,9
500,4,1.0232996534000562,3.7670808577785855,3,9
500,4,1.0147590389548478,3.8323252463591144,4,9
500,4,1.0419408949198776,3.5481171626892496,5,9
500,4,1.020075344295386,4.097967086560477,6,9
500,4,1.0078581743021704,4.354779661509863,7,9
500,4,1.0161422182765167,4.088709265531883,8,9
500,4,1.0266114961281305,3.9149261017197685,9,9
500,4,1.0279773285280622,3.7385118776376096,10,9
100,7,0.9004532800247165,4.1594152781523475,1,10
100,7,0.9163728481535576,3.708775276590356,2,10
100,7,0.9169507031732929,3.766064312026776,3,10
100,7,0.9074048102618549,3.862401445133718,4,10
100,7,0.9267074040547064,3.508040403463213,5,10
100,7,0.9039640532932565,4.135312567205181,6,10
100,7,0.8990706288262544,4.37098582608235,7,10
100,7,0.892450637584057,4.198077250476468,8,10
100,7,0.9132235899647423,3.9146008240886903,9,10
100,7,0.9158433285020916,3.7577544811425057,10,10
280,7,0.8901781623632062,4.115714908811037,1,11
280,7,0.9014744282404102,3.6794390414760145,2,11
280,7,0.8971694178175835,3.764255355284303,3,11
280,7,0.8935283698621308,3.849136970663026,4,11
280,7,0.9097803252928142,3.494153951575854,5,11
280,7,0.8937076313948839,4.116913910734947,6,11
280,7,0.8819303608516207,4.332146291566516,7,11
280,7,0.8871406612294188,4.144478983315549,8,11
280,7,0.9036037694889809,3.8839155430242576,9,11
280,7,0.905082532121325,3.7452530991891146,10,11
500,7,0.8870836249132605,4.111817499797236,1,12
500,7,0.8972218576633323,3.6883057188592763,2,12
500,7,0.8903309565922103,3.721790452543265,3,12
500,7,0.887905063401271,3.847918332359562,4,12
500,7,0.914156811604014,3.49979104857017,5,12
500,7,0.8902038144463726,4.127057778152722,6,12
500,7,0.8833915944413769,4.327500385381409,7,12
500,7,0.8859719655858562,4.108709521171537,8,12
500,7,0.9002023089709985,3.891465318248258,9,12
500,7,0.9001289329012753,3.752617728092932,10,12
100,9,0.8670813499126816,4.138430973133987,1,13
100,9,0.8757926693451086,3.7162748399206977,2,13
100,9,0.8676119567298209,3.744448149100339,3,13
100,9,0.8611815197872813,3.8642376423857185,4,13
100,9,0.8919855817893312,3.507674773502542,5,13
100,9,0.873141137037662,4.21233374491836,6,13
100,9,0.8624057067591705,4.348203909954542,7,13
100,9,0.8546493655333159,4.1232754887759295,8,13
100,9,0.8805626512181192,3.8630841853008486,9,13
100,9,0.8780638236855598,3.7902171815963306,10,13
280,9,0.85161541566882,4.136349363523289,1,14
280,9,0.863521975709483,3.6864557339666297,2,14
280,9,0.8553453803783918,3.73686300763296,3,14
280,9,0.848125976660072,3.8466225018376026,4,14
280,9,0.8743904970299896,3.4747764782459343,5,14
280,9,0.8560903251504874,4.14288421663586,6,14
280,9,0.8479329847974366,4.346370755988738,7,14
280,9,0.8491365908624627,4.134006065689353,8,14
280,9,0.8685013095948756,3.8742515972240503,9,14
280,9,0.8669958149475042,3.79383868543318,10,14
500,9,0.8502698560287276,4.119758402808503,1,15
500,9,0.859014385627556,3.699053855975665,2,15
500,9,0.8507378929706743,3.7510060337700284,3,15
500,9,0.8449267569102572,3.8483354083663395,4,15
500,9,0.8693718836994233,3.482479636489002,5,15
500,9,0.8524040791187112,4.14805224160688,6,15
500,9,0.8423467113380337,4.316991126040583,7,15
500,9,0.8471029423132402,4.118168857282131,8,15
500,9,0.862360045341253,3.8711915425985435,9,15
500,9,0.8632681510516398,3.764973411915338,10,15
100,11,0.8415756967841796,4.174675835392662,1,16
100,11,0.844958759200879,3.715678517076398,2,16
100,11,0.843386182211352,3.7944454056433323,3,16
100,11,0.840922836475265,3.895114799038582,4,16
100,11,0.8639612961650376,3.468702940908874,5,16
100,11,0.8372204122565373,4.138726813199551,6,16
100,11,0.8345702824619441,4.385956621599194,7,16
100,11,0.8326796771219807,4.198150416627124,8,16
100,11,0.8535276823121742,3.9158788524134422,9,16
100,11,0.8518038036360855,3.8562079359847234,10,16
280,11,0.8298362452732571,4.126170475358199,1,17
280,11,0.8349874554379725,3.6944423105681827,2,17
280,11,0.8309274322501639,3.738516474721438,3,17
280,11,0.8234149090502394,3.8630889822526946,4,17
280,11,0.8415464133395579,3.4665401331835377,5,17
280,11,0.8235545561480592,4.136123061216641,6,17
280,11,0.8184951278764904,4.309641394017444,7,17
280,11,0.8211087537235889,4.147114375499006,8,17
280,11,0.8422983212719025,3.8681287687350445,9,17
280,11,0.8397151421711941,3.8008643950496865,10,17
500,11,0.82138441698363,4.100933213779845,1,18
500,11,0.8326453683065608,3.6978403453188893,2,18
500,11,0.8242434468605999,3.7394766416499,3,18
500,11,0.8198252895473658,3.8813161289751412,4,18
500,11,0.8454261325863657,3.4766423048009067,5,18
500,11,0.8239572494202826,4.147917293997675,6,18
500,11,0.8164700061212662,4.302115227613823,7,18
500,11,0.8179000199011935,4.154273937215358,8,18
500,11,0.8355935690782806,3.856832522301295,9,18
500,11,0.8386654807880374,3.7840653521821723,10,18
