lambda,fraction,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0,0.1,4313.548389034511,0.5644402889645485,1482.7947162300743,623.1368545217614,0.07279771191729567,239.7100446012463
0.1,0.1,5255.255030422765,0.4978160481697104,1920.5101182063297,523.3970484033275,0.0774382871691354,88.02082543109145
0.2,0.1,5322.457171424807,0.49839800599262324,1945.6691833689729,520.5008494706689,0.07768485962328753,87.45546329047268
0.30000000000000004,0.1,5343.567061333002,0.4988343353105591,1953.3430247845208,519.2391049388452,0.07789748008498672,87.16979292847086
0.4,0.1,5345.975241742107,0.49914018411992833,1953.936575115758,518.2266886299305,0.0780618165163283,87.48597922990254
0.5,0.1,5337.292370970361,0.4993868416762396,1950.4346607867576,517.5774116436977,0.07820548739713244,87.53735969022998
0.6000000000000001,0.1,5323.8658023513535,0.4995792517486595,1945.1961717122574,517.3037765525726,0.07832067521547974,87.5648760143116
0.7000000000000001,0.1,5307.646701199166,0.4997336856128476,1938.855797249063,517.1538567741119,0.07842150175534758,87.4360486371337
0.8,0.1,5288.232119361235,0.49986142159765834,1931.2563906912621,516.9113632371597,0.0785089994452347,87.30472409801165
0.9,0.1,5267.508420127529,0.4999702073067715,1923.1699675937411,516.8596097631851,0.07858401428877644,87.08919431140825
1,0.1,5246.390613503641,0.5000628560846475,1914.963231070404,516.6552109847804,0.07864577036580138,86.77528488129946
0,0.5,4031.010964195544,0.6007213618424573,1369.5793551950512,420.24476614109545,0.056963186576948155,44.63754342576547
0.1,0.5,4026.1991477990055,0.6023213237672583,1328.507313244113,443.2194371147913,0.06904481172246212,56.43570706712989
0.2,0.5,4064.9068731353786,0.5973282686238683,1328.2805616869755,440.73606711602116,0.0711786331738791,76.49187572370906
0.30000000000000004,0.5,4097.781738676747,0.5921535071308165,1287.5884995971621,448.17149567208753,0.07349260734790006,80.98931580994126
0.4,0.5,4137.705276938878,0.5872827759308606,1273.070983872961,452.67999719368595,0.07537204729285536,79.26835852274996
0.5,0.5,4189.534812016526,0.582240685884315,1278.2219215782197,452.9368374816193,0.07696028428568588,80.32042041638057
0.6000000000000001,0.5,4249.392235817903,0.5774465336312186,1292.4241861057374,451.1728263802661,0.07818455784540171,82.543059840611
0.7000000000000001,0.5,4316.471573174757,0.5730003085375357,1313.668890369347,448.2795833767738,0.07906543010682071,85.63496183439243
0.8,0.5,4390.927204325719,0.5690875984762059,1342.9273840379844,445.19793719935154,0.07971498297246206,89.26490476873109
0.9,0.5,4472.145074506464,0.5655081908939359,1377.1052416656635,442.57754979244396,0.08030681307722219,92.75225916817567
1,0.5,4559.501434194405,0.5621622956975135,1414.2524346938883,441.36854822562236,0.08078760683977354,96.35344752029138
0,0.9,4054.8546310250304,0.595852725031821,1401.0290933113963,421.02957869322654,0.05614709650564844,50.46895806157364
0.1,0.9,4019.615901904813,0.6064355370684844,1403.9831460632,406.51891594203414,0.06275363477243269,50.18540736847354
0.2,0.9,4077.6839798821165,0.6040181497524161,1485.7757056100013,387.63594498983866,0.06549005725400386,54.61496097651932
0.30000000000000004,0.9,4167.71579718695,0.6008385979754769,1585.1809574843853,368.1428826803857,0.06726688231636709,61.74275484048258
0.4,0.9,4284.166253899643,0.5975740562004814,1694.0972038529696,351.2668543592087,0.0684886228962174,69.34564234488994
0.5,0.9,4425.26744924269,0.5939874905312428,1808.853528800851,339.38932596375287,0.06960028792863342,76.95296446139047
0.6000000000000001,0.9,4586.419237364949,0.5903057580323601,1926.4153151118635,332.7779730546196,0.0703747310993702,83.9744406616926
0.7000000000000001,0.9,4763.53246682886,0.5867283190426887,2046.152789648304,331.9800555792755,0.07097808683377334,92.17904406929225
0.8,0.9,4955.491334441185,0.5831965759143435,2168.1298639724187,336.93660477630146,0.07149292804204055,100.69161036980978
0.9,0.9,5159.295966889519,0.5797759436491242,2293.281034375628,346.14262538954,0.07188168399449239,108.21154215324195
1,0.9,5372.816860906375,0.5764825019135396,2421.7076973033318,359.078863807936,0.07219890690529078,115.75163597538868
