num.trees,mtry,sample.fraction,train_loss,valid_loss
100,3,0.5,33940.44275775187,63981.35424479187
670,3,0.5,33781.59499300081,63617.608242735216
500,3,0.5,33868.74222952568,63665.76797974021
100,16,0.5,26563.36870037257,59976.66564549211
670,16,0.5,26215.65249716361,59595.647769265815
500,16,0.5,26197.300260991484,59324.96038632456
100,22,0.5,26087.698418423963,59840.032219071785
670,22,0.5,25696.119815841943,59468.74021280561
500,22,0.5,25665.712153035638,59453.85591553081
100,26,0.5,25786.28774836056,59792.98599235269
670,26,0.5,25399.291052633045,59204.482820133046
500,26,0.5,25483.33656866247,59227.18508724823
100,3,0.6,30496.903714498112,64212.78565323267
670,3,0.6,30287.576695597847,63410.62572925459
500,3,0.6,30346.521249721685,63407.38112898123
100,16,0.6,22523.186083086177,59882.427379931316
670,16,0.6,22277.235361312323,59194.58788432054
500,16,0.6,22228.44565749883,59443.38072151568
100,22,0.6,21927.382268605685,59722.74562641623
670,22,0.6,21744.710501668524,59150.61303875942
500,22,0.6,21768.007508884275,59182.02617602373
100,26,0.6,21878.215764413028,59583.881860080044
670,26,0.6,21496.697123517013,59368.15551294912
500,26,0.6,21550.17610608444,59181.09388263235
100,3,0.8,25048.104536526254,63835.99306594506
670,3,0.8,24710.794937902006,63148.854187290046
500,3,0.8,24687.76731188954,63181.8832077806
100,16,0.8,16436.346331763438,59335.12729940603
670,16,0.8,16101.947731548053,59254.300762152336
500,16,0.8,16218.309868165139,59304.75428718092
100,22,0.8,15938.457134261822,60047.2618872696
670,22,0.8,15579.478938682667,59155.68305969087
500,22,0.8,15560.169847448378,58961.21154417372
100,26,0.8,15707.171150766011,59859.860339772305
670,26,0.8,15434.704063446083,59215.94301972301
500,26,0.8,15427.798736491899,59133.993415194775
